Name,Rank,Team,TeamShort,MLBid,Birthday,Height,Weight,HitThrow,Year.Drafted,RoundorIFA,Aquired,RuleV,Position,Highest.Level,Evaluator,OFP,Role,OFPRole,Role.D,Risk,ETA,Tools,FB,CT,CB,SL,CH,SLV,SPL,FK,KN,SCR,PLM,Control,Command,ContCom,Hit,Power,Field,Arm,Run,Phy.D,Overall.D,Hit.D,Pow.D,Field.D,Arm.D,Run.D,FB.D,CT.D,CB.D,SL.D,CH.D,SLV.D,SPL.D,FK.D,KN.D,SCR.D,PLM.D,Mech.D,ContCom.D,Video1,Video2,Video3,Video4,HeadshotURL
Sam Delaplane,24,Seattle Mariners,SEA,676845,3/27/1995,5-11,185,R/R,2017,Draft - Round 23,2017 Draft - Round 23,Eligible,RHP,AA,Nick Stillman,40,40,40 OFP 40 Role,Low Leverage Relief,Low,2021,50FB 60SL 45Control 50Command,50,,,60,,,,,,,,45,50,45/50,,,,,,"Smaller frame, average build, with large hands and a slightly thicker lower half. Maxed physically; with the athleticism to repeat a somewhat violent delivery.","A relief arm with a violent delivery that tunnels an above average fastball with a high-spin plus slider that he can locate and bury as he wishes. If velocity stabilizes in the mid-90s and he can gain more consistency in his delivery he'll find his way in the back half of a bullpen, topping out as a set-up man. If he can't improve command he'll walk his way into a middle relief role. If the velocity doesn't return, he'll struggle to get hitters to respect the slider enough to stick.",,,,,,"In 2019, four seamer sat 92-95, t97. Some reports from intrasquad this year have Delaplane down at 87-90, a dramatic and concerning development. Gets late life up in the zone, with modest armside run. Delivery and release tunnel well with breaking ball and allows the fastball to play up with more late/defensive swings than pure stuff would indicate. Command can be shaky when the delivery breaks down, especially on the inner half to righties. If velocity returns closer to the mid 90s, it's an above average fastball with ride.",,,"82-87, spins at ~2,800rpm. A real big league breaker that he grips like a curveball but has slider action and shape. Late, violent drop with good arm speed. Can manipulate the shape and speed between a slower, two-plane diving slider he buries, and a short, hard breaker that he spots on both sides of the plate. Control improved with the jump to AA and has been trusting it over the plate. Can flatten out when he loses feel and needs to develop more consistency, but currently a pitch that would miss big league bats.",,,,,,,,Punches the ball through his high 3/4th slot with effort. Active and strong legs propel him down the mound. Pitches exclusively from the stretch. Starts delivery closed with lead foot toward third and gets good hip separation as he falls off towards first. Has athleticism to repeat the explosive delivery but loses command when he gets out of sync.,"Average control and fringe-average command. Moving parts and higher-effort delivery will keep him from developing much more command, but control should improve as it did late last year. When he's repeating his delivery he stays out of the heart of the zone but when he gets out of sync he loses the zone entirely.",,,,,http://www.milb.com/images/676845/generic/180x270/676845.jpg
Jose Corniell,25,Seattle Mariners,SEA,692030,6/22/2003,6-3,215,R/R,2019,IFA,2019 IFA,2024,RHP,DSL,Isaiah Burrows,40,40,40 OFP 40 Role,Spot Starter,Extreme,2025,50FB 40CB 40CH 50Control 45Command,50,,40,,40,,,,,,,50,45,50/45,,,,,,"Tall and lanky frame on the mound. Has some added muscle to his upper half. Long arms and legs with broad shoulders. More can be packed onto his frame at such a young age, which could up his velocity. Good composure, doesn't look rattled in the moment.","Corniell is more of a project than anything at the moment, and that's understandable given his age and place in the organization. For a teenager, he has a solid frame that could add more bulk and help his velocity trend upwards. He also has solid control and command to fill the strike zone. He rarely seems rattled in the moment. His stuff needs to improve for him to find his footing, but he's another name to keep an eye on in Seattle's deep farm system.",,,,,,"Sits primarily in the low-90s, may reach mid-90s on occasion. Has a bit of late rising action towards the top of the zones. Spots well armside in the strike zone.",,"One of his two off-speed offerings. Sits in the low-70s with below-average break. Lacks much bite or dip in the zone to force whiffs, needs refinement. Does have a bit of spin, but not enough to catch opposing batters off guard. Must improve to be effective at any point. Work in progress, but good building blocks for young player.",,"Second off-speed pitch to counter his fastball. Dip in velocity, but remains flat to the plate. Tumbles, but currently lacks fading action. Better feel for this pitch than his curveball. Commands it well to follow his fastball. Needs to develop for it to become a go-to off-speed offering.",,,,,,,"Long and loose arm action that plays well within his arsenal. Solid extension and consistent follow through after each pitch. Looks more comfortable from the windup, shortens his action and delivery from the stretch. Three-quarter arm slot. Consistent and repeatable delivery. Ball comes out effectively from his hand. Simple mechanics and overall good approach. Nothing too special, just simple and effective to get through innings.","Has good command for a teenager in pro ball. Has confidence to challenge batters with his fastball, and follow it up with one of his off-speed pitches. Hits his spot in the zone with a few quality strikes at times. Pitches locate around the zone, nothing blatantly off target. Rarely has a wicked fastball flying over the catcher's head or a curveball that bounces in the dirt. Repeatable delivery helps him stay balanced and composed.",,,,,https://www.dropbox.com/s/t3pnd3ed1jtst1x/PLive_Placeholder_Team_Board.png?raw=1
George Feliz,26,Seattle Mariners,SEA,692031,12/21/2002,6-0,175,R/R,2019,IFA,2019 IFA,2024,OF,DSL,Alex Jensen,40,40,40 OFP 40 Role,Below Avg. Role Player,Extreme,2025,45Hit 50Power 50Field 60Arm 55Run,,,,,,,,,,,,,,,45,50,50,60,55,"Strong, athletic build at 5'10, 180 pounds with a sturdy frame that can still add some good weight. Feliz has a fast twitch body with a strong lower half. Still very young and not yet mature physically, but it's clear that Feliz has and will continue to have good explosion and burst. Very natural mover.","Was the Mariner's highest paid international signee in 2019 and it's easy to see why. He's a natural athlete who could develop into a power hitting center fielder if it all comes together. There is risk here, but he has one of the higher pure ceilings in the system.","Efficient, rhythmic swing from a high hand position with a simple lower half and fairly wide base. Swing has a good amount of natural loft and is geared to get the ball into the air with loose, easy, plus bat speed. Feliz can struggle with the spin and doesn't yet have the best eye at the plate. Without having any professional at bats to his name, it's very possible that this will come with reps. The swing will sacrifice a bit of contact for loft, but he isn't fully selling out and there is nothing to hold him back from being average in this area. Just need to see him show it in games (he will be on the fall league roster).","While Feliz isn't the biggest man on the team, he has the quick twitch explosion to punch above his weight at the plate. Feliz stands out for creating explosive hip separation, his strong lower half and excellent extension out in front. With his natural bat speed, natural lofted swing and strength projections, he could easily wind up with plus power down the line. For now, we will be conservative, but the pieces are here for a plus tool at maturity.","Feliz runs and moves well, even after adding 20 pounds since signing. While he doesn't yet flash the instincts of an MLB center fielder, he has the first step quickness and range to play there if he develops correctly. If not, he should fit nicely in right field where he would be a tremendous athlete for the position.",Kid has a cannon. Plus carry on his throws and showcases plus angles. He can put it on a frozen rope to the plate and is quick from fielding to release. Projects to add velocity as he fills out.,"Feliz is a natural runner who stands out for his athleticism. He's more athletic than he is fast but he's plenty fast and rangy. If the instincts tick up, he could become a plus here.",,,,,,,,,,,,,,,,,,https://www.dropbox.com/s/t3pnd3ed1jtst1x/PLive_Placeholder_Team_Board.png?raw=1
Damon Casetta-Stubbs,27,Seattle Mariners,SEA,677316,7/22/1999,6-4,225,R/R,2019,Draft - Round 11,2019 Draft - Round 11,2024,RHP,A+,Joe Doyle,40,40,40 OFP 40 Role,Spot Starter,High,2023,50FB 50CB 50SL 45CH 45Control 45Command,50,,50,50,45,,,,,,,45,45,45/45,,,,,,"Tall, physical right-hander. Physical presence with a good build to his frame, barrel chested. Strong and sturdy upper body with long legs. Long legs with powerful quads. Shows some aggression on the mound.","A definitive starters' build with four pitches, Castetta-Stubbs has plenty of development in front of him to develop into the rotation option he could be.",,,,,,"Low 90s fastball has touched 94. Good run in on righties. Command has come into question, though some of that attributed to inconsistent mechanics. Body and arm speed project more coming. Could be 93-95 in due time.",,Another average breaking ball that displays more consistent shape than the slider. Good arm speed and conviction. Command wavers. Not a high velo offering. Average for now.,"Inconsistent command but promising movement profile with good depth, lacks horizontal tilt. Gyro-centric offering. Pitch should be an average offering with improved command.","Fringy offering. Throws for strikes, but movement profile is inconsistent and doesn't yet command the pitch in on righties. Could be a get-me-over pitch against righties",,,,,,,"Traditional windup, glove-over-head motion. Arm action is long and can get late at times. Good scap load and extension down mound suggest velo should pop and hold. Some wild limbs add a little deception.","Control hasn't been a huge issue in the past, though command has. Fastball and breaking balls have shown they can be thrown for strikes, but spotting them for out pitches remains a struggle.",,,,,http://www.milb.com/images/677316/generic/180x270/677316.jpg
Adam Macko,28,Seattle Mariners,SEA,671936,12/30/2000,6-0,190,L/L,2019,Draft - Round 7,2019 Draft - Round 7,2024,RHP,R,Isaiah Burrows,40,40,40 OFP 40 Role,Spot Starter / Low Leverage Relief,High,2023,50FB 45CB 40CH 40Control 40Command,50,,45,,40,,,,,,,40,40,40/40,,,,,,Sturdy build with long arms. Smaller frame with more room to grow and add more muscle. Has more lower body strength than upper body strength currently. Long legs with narrow upper half build.,"Macko is very raw and needs some time to develop in the system. His command and control for a prep lefty is promising up to this point, but his stuff and recent velo will need to stick if he's to potentially hang on to a future starter role. He started two games in Seattle's AZL last season, but likely fits more a relief profile long-term.",,,,,,"Low 90s offering with some ride. Has touched 95 in offseason bullpens. Ball sneaks up on hitters with a little deception in his delivery. Likes to play fastball up in the zone. Not the biggest frame and doesn't get elite extension, so skeptical on future velo gains. Command is average.",,Low-70s off-speed pitch that has some good break to it. Has a good feel for his curveball and commands it well. Late break induces swings and misses. A bit inconsistent/loopy at times. Inconsistent break. Added velo would benefit efficiency.,,"Armspeed and some fade present. Low to mid 80s offering provides good separation so long as the fastball is on. Spots it well low and locates. Has confidence and a good feel for it in any count, just lacks consistency. Work in progress, but flashes.",,,,,,,,Solid control and command for a prep arm. Typically locates his curveball better than his fastball. Curveball breaks well out of the zone. Fastball command will be critical in future role.,dFQ4QM98qbA,,,,https://www.dropbox.com/s/t3pnd3ed1jtst1x/PLive_Placeholder_Team_Board.png?raw=1
Milkar Perez,29,Seattle Mariners,SEA,683529,10/16/2001,6-0,215,R/R,2019,IFA,2019 IFA,2024,3B,DSL,Joe Doyle,40,40,40 OFP 40 Role,Below Avg. Role Player,Extreme,2025,45Hit 50Power 40Field 60Arm 40Run,,,,,,,,,,,,,,,45,50,40,60,40,"Big, broad body with sloping shoulders and strong, thick lower half. Thicker neck and hips suggests corner profile and regressive speed as he ages. Big forearms. Strong player.","Milkar Perez will need the bat to carry him into his big league ceiling. The arm is clearly a carrying tool in the field, though it's impact may be negated if it can't play due to big body. A bit of a project. Several years out.","Slightly open, crouched stance with low head and slightly slouched over eyes. Well-leveraged swing starts with weight heavy on backfoot. Attacks pitches high with confidence. Has struggled with breaking balls at his back foot. Goes well the other way with pitches on the outside corner. Advanced approach for young player.","Frame suggests power profile in his future, but lacks impact currently. Big body generates raw swing speed. Inconsistent bat path inhibits ability to consistently get to raw tools. Should develop well as he ages. Potential for 20+ homerun power.","Current athleticism allows the body to handle 3B, though there are concerns he'll grow/age out of the role. May end up in LF or 1B. Already a fringy runner. Soft hands and big arm allow inefficiencies to play down. Ability to stay in shape will dictate future on dirt.",Big arm. Can make all the throws and clock big velos across infield dirt. Accurate and reliable. Can play in any outfield spot too.,"Already a fringy runner, may regress depending on weight added. A little sluggish out of the box. Likely never a base stealing threat. As has been said, physique will dictate future tool.",,,,,,,,,,,,,,,,,,https://www.dropbox.com/s/t3pnd3ed1jtst1x/PLive_Placeholder_Team_Board.png?raw=1
Joe Rizzo,30,Seattle Mariners,SEA,666143,3/31/1998,5-10,205,L/R,2016,Draft - Round 2,2016 Draft - Round 2,Eligible,3B,A+,Joe Doyle,35,30,35 OFP 30 Role,Up/Down Emergency Depth,Moderate,2022,50Hit 40Power 45Field 50Arm 40Run,,,,,,,,,,,,,,,50,40,45,50,40,"Compact and sturdy, Rizzo carries the frame of a catcher with a barrel chest, big hands, and strong forearms. His stout frame has appeared filled out since high school, but he is still converting more weight into lean muscle each year. The concern, though, is that continuing to pack on muscle may result in further loss of flexibility and agility (which Rizzo can't afford to lose if he wants to stick anywhere but first base).","Joe Rizzo is lost in the shuffle of Seattle's big name prospects and is sliding precariously down the defensive spectrum while his bat has yet to deliver above average production--a damning prognosis. But Rizzo is still only 22, has shown the ability to make adjustments, and has the drive and work ethic to transform his profile in an offseason. There's a chance Rizzo unlocks nascent power while retaining his feel to hit through one crucial swing change. The issue, though, is that Rizzo is now relying on a big step forward to save him from dropping fully off the organization's radar. This year will be critical for Rizzo to prove that he can carve out space for himself on a major league diamond.","Rizzo's loudest tool is the short, left handed stroke that carries his profile. His swing has undergone adjustments over the last two years, eliminating and then adding a stride, closing and opening the stance, lowering and then raising his hands, all in an attempt to locate that balance of contact and power that would allow him to reach his second round ceiling. While the swing has fluctuated and continues to undergo adjustments (another swing change in 2020 will debut in ‘21) Rizzo has never truly lost his above average bat-to-ball skills owed to his quick wrists, strong forearms, and excellent hand-eye-coordination. He has a solid idea of the strike zone which puts him in favorable counts and allows him to spray low line drives across the diamond.","Despite his positional profile and several swing adjustments, Rizzo has never shown above average, or even average, pop as a pro. His compact swing is built for contact and low line drives. Thus far, blasting balls over the fence with regularity has remained unchecked on Rizzo's wish list. He did reach double digit home runs in ‘19 and will shoot the gaps, but his exit velocities don't scream ""untapped, corner infield power."" Rumor has it Rizzo has added significant muscle in the offseason and adjusted his bat path once more, but we have yet to see if that will unlock the necessary loft and velocity to profile for corner power without sacrificing his ability to make contact.","Rizzo's defense has been in question since the day he was drafted, lacking the natural athleticism and range for the middle of the diamond and without the frame to profile for third. As a pro he's received looks at third, first, and second, but his best position is still lining up on the left side of the plate. He has soft, quick hands, smooth transfers, and has improved at third the last two years, handling in-between hops and charging balls with more confidence. But his limited range, slow footwork, and average athleticism indicate he will never be an above average defender. There's not much upside to uncover defensively, and Rizzo will likely profile as a defensively below average infield utility player, average at first, or fringe average in the hot corner.","Short arm motion from a ¾ slot, Rizzo doesn't have a cannon but he can make all the routine throws from third. He gets good carry and has improved his accuracy through improved footwork. It's an arm that could play in left with some adjustments, but current motions are ideal for infield.","Rizzo is an instinctual runner, but a below average one (and not a pretty one). Choppy, top-heavy, and high effort, Rizzo lacks natural burst to beat out grounders or steal bases. He has great instincts on the bases and avoids mistakes but is teetering on being slapped with the ""lumbering"" label.",,,,,,,,,,,,,,,,,,http://www.milb.com/images/666143/generic/180x270/666143.jpg
Aaron Fletcher,31,Seattle Mariners,SEA,667465,2/25/1996,6-0,220,R/L,2018,"Draft - 14th Round, WSH","2018 Draft - 14th Round, WSH",On 40-man,LHP,MLB,Joe Doyle,35,30,35 OFP 30 Role,Up/Down Emergency Depth,Low,2021,50FB 50SL 45SLV 45Control 45Command,50,,,50,,45,,,,,,45,45,45/45,,,,,,Strong and sturdy lefty on the mound. Physical presence with a good build to his frame. Thick lower half with strong glutes. Wide shoulders. Good amount of muscle packed to his frame.,"Fletcher has been an absolutely shutdown reliever at every level and his reverse splits suggest he has a long future at the big league level. Fastball consistency, as well as command across the board will need to improve if he hopes his deception and average stuff will succeed long-term.",,,,,,"Generally a low 90s offering that's flashing into the mid 90s on occasion. Fastball is inconsistent with run, sink, and ride depending on release. Seemingly can't throw a straight fastball if he tried. Deception allows the pitch to sneak up on hitters. Command has been an issue.",,,"Another offering with deception. Probably his best pitch. Plenty of late break. Pretty devastating, especially in on righties. Reverse splits.",,Low-80s with inconsistent movement profile and release point. Must focus on developing pitch as another offering against lefties.,,,,,,,"Generally not great control, really emphasized in short appearances in 2020. Projects an average command pitcher when fully settled.",,,,,http://www.milb.com/images/667465/generic/180x270/667465.jpg
Wyatt Mills,32,Seattle Mariners,SEA,670090,1/25/1995,6-4,190,R/R,2017,Draft - 3rd Round,2017 Draft - 3rd Round,2021,RHP,AA,Isaiah Burrows,35,30,35 OFP 30 Role,Up/Down Emergency Depth,Low,2021,50FB 55SL 35SP 50Control 50Command,50,,,55,,,,,,,,50,50,50/50,,,,,,"Tall and solid build throughout. Upper and lower half fills out for the most part with strong legs and broad shoulders. Does hunch over at times on the mound, may be more due to his delivery. May not show aggression or intensity, but has good poise. Doesn't seem rattled with runners on base. Fights back in the count.","Mills is a typical low three-quarter slot submarine reliever out of the bullpen. He has a good fastball/slider combination that has good spin rates to force swings and misses or ground balls. His changeup is nothing special at the moment and is rarely thrown, but it could develop into a third pitch with time. His command and control keeps him from getting consistent outs as he goes up in level, as shown by his high BB/9 rate in Double-A last season. Regardless, he faced tough competition last year and held his own for the most part. Doesn't have much of a ceiling, but could become a MLB contributor out of the bullpen.",,,,,,"Solid low-90s fastball with good sink that runs off the plate. May dip to the high-80s in velocity at times, but the sinking action makes it effective. Good pitch to jam lefties and righties inside, force ground balls to the infield. Good pitch from the stretch with runners on, but nothing special in terms of movement or velocity.",,,"Good low-80s off-speed pitch that forces whiffs, makes a nice pairing with his fastball. Often throws it in two-strike counts with solid break at the hands against righties. His funky delivery may hide this pitch until it breaks at the plate. May tail outside the zone, as well. Solid spin rate and good offering as a whole.","Very early in development, rarely thrown. Primarily a two-pitch mix with slider/fastball. Could offer a dip in velocity, but stays flat in the zone and not thrown with confidence. Still could become a third offering in his repertoire, but nothing stands out at the moment.",,,,,,,"Low arm action, throws low to the waist with a long arm slinging slot. Ball releases quick, but not consistent and repeatable. Some effort in overall arm action with how much tork goes into his whole body after every pitch. Hooks his arm behind his body at times, just cocks it back and sling it. Funky three-quarter ""submarine"" delivery. Elbow gets low to the ground and bends over after each sequence. Not very smooth, repeatable or consistent, but still effective. Ball comes out quick and keeps batters off guard. May see some effort concerns with his delivery, nothing ""violent"" just something to keep an eye on moving forward.","Struggles to consistently find the zone and hit his spot. Has trouble locating fastball on the outside corner to righties. Slider may break way inside the plate for an easily called ball. When falling behind in the count, he battles back with a few good placed fastballs or sliders. When his control is good, he gets out of jams with RISP with a softly hit ground ball, possible double play. Still struggles to hit his target consistently, and it leads to several walks in an outing.",,,,,http://www.milb.com/images/670090/generic/180x270/670090.jpg
Kristian Cardozo,33,Seattle Mariners,SEA,691258,11/10/2002,6-2,175,R/R,2019,IFA,2019 IFA,2024,RHP,DSL,Joe Doyle,35,30,35 OFP 30 Role,Up/Down Emergency Depth,Extreme,2024,50FB 50CB 45CH 55Control 50Command,50,,50,,45,,,,,,,55,50,55/50,,,,,,Big time athleticism and quick arm. Starters build with an arsenal to support it. Sound mechanics and durable frame should development well.,"Cardozo will be a long-project but his command and current stuff project well for a future starter. Likely will end up in the 6-2, 195 pound range with a mid 90s fastball and good secondary offerings, both of which have flashed at least average. Adding strength is the biggest priority right now.",,,,,,"Pretty straight as it stands with a little ride. Has primarily been low 90s, touching 93 in international training for Seattle. Projects into the high 90s thanks to arm speed and athletic body. Shape is to be determined.",,"Very good feel for a curveball at a young age. Lots of depth and keeps armspeed well. Currently a pretty low speed, 72-73 offering. Projects as a possible above average offering as he adds strength and velo.",,"Still gathering feels for changeup, but already exhibits some tumble and fade. Low 80s offering that's particularly effective against righties. Could be his best secondary in due time. Throws with conviction.",,,,,,,"Loose, quick arm with an over-the-top downhill plane. Shows good balance and strong plant lead leg for younger prospects. Release point is repeatable for all pitches.",Very strong command for a 17-year-old. Projects to be a good starter archetype thanks to natural feel to pitch and pound strikezone.,,,,,https://www.dropbox.com/s/t3pnd3ed1jtst1x/PLive_Placeholder_Team_Board.png?raw=1
Michael Limoncelli,34,Seattle Mariners,SEA,686802,5/30/2000,6-2,185,R-R,2019,Draft - Round 6,2019 Draft - Round 6,2024,RHP,R,Alex Jensen,35,30,35 OFP 30 Role,Up/Down Emergency Depth,High,2023,50FB 55CB 45CH 50Control 50Command,50,,55,,45,,,,,,,50,50,50/50,,,,,,"Long, lanky 6'2 190-pound frame with some projection remaining despite a thinner frame. Room for another 10 pounds or so. Pretty even weight distribution throughout his body, could potentially add velocity by strengthening his lower half a bit. Good athlete who stood out with the bat as well. Competitor makeup.","A TJS survivor from his senior year from New York, we really only have his junior year summer to go on for a healthy Limoncelli, but that performance was very encouraging. Prior to injury, Limoncelli was getting late day one hype and had ""helium"" hype. His natural blend of athleticism, control and physical projection is one that the Mariners have had great success with in recent years. He draws plus reviews on and off the field for his makeup. Potential breakout player in the system if fully healthy. Some relief risk given the injury history, frame and lack of a true solid changeup.",,,,,,"Fastball sits in the mid to low 90's when healthy. Fairly average movement profile in the past (though Wiener and Co have been wizards at optimizing this pitch) with his 4S. Plus arm speed and projection indicate a velocity uptick could be coming. Finds the zone well with the pitch. Currently control over command. 88-90 2S is used as a weapon against left-handed hitters. Also thrown consistently for strikes. Right now, it's an average fastball, but the tools are there for it to jump a grade.",,This is easily Limoncelli's best pitch. Mid 70's velocity with more power coming. Limoncelli clearly has a natural feel for spin and control/command of the pitch is well beyond his years. Big bend creates swing and miss but it's the ability to locate that makes the pitch devastating. Easy above average pitch that becomes plus with a tick of added power.,,"This is a developing pitch for Limoncelli, who had little need to use the pitch as a cold-weather prep arm. He finds the zone with the pitch that sits 83-85. He mimics his FB arm-action well, but the pitch can blend in with the fastball movement and needs to add a bit more velocity separation to work against better hitters. Enough here to use against lefties but the pitch clearly hasn't reached it's ceiling yet. Should be enough here to become average with time, but not there yet.",,,,,,,"Loose arm action that he repeats well despite some effort to his delivery. Arm speed stands out and indicates a chance to increase velocity with added strength. Will need to revisit after seeing his post TJS delivery. Loose, high ¾ delivery that is repeated well despite some effort. Repeats his release points well with all three offerings. Generally shows good composure from the stretch. Could use MLB level coaching to tone down the effort in the finish of his delivery.","Control is above command now, but Limoncelli pounds the zone with all four pitches. He repeats his release well and given his natural athleticism, that should continue. Command is still coming with reps and coaching, but he still has well above average command for his age and background. Average right now, with a realistic chance to take another step forward.",,,,,https://www.dropbox.com/s/t3pnd3ed1jtst1x/PLive_Placeholder_Team_Board.png?raw=1
Matt Brash,35,Seattle Mariners,SEA,666374,5/12/1998,6-1,180,R/R,2019,"Draft - Round 5, SD","2019 Draft - Round 5, SD",2023,RHP,R,Joe Doyle,35,30,35 OFP 30 Role,Up/Down Emergency Depth,High,2023,55FB 45SL 55CH 50Control 50Command,55,,,45,55,,,,,,,50,50,50/50,,,,,,"Small and wiry frame, more room for growth and added muscle. Slender build with lanky arms. Lower half looks a bit more filled out than his upper body at the moment.","Brash has an outside shot at starting at the big league level, though that will be incumbent on the development of his breaking ball and improving his delivery and body can hold up over the duration of long outings. As it stands, he projects to be a plus fastball guy with a good supporting off-speed pitch and a get-me-over breaking ball.",,,,,,"Consistent mid-90s offering with late ride towards the top of the zone. Ball comes out explosive and a bit of late ride forces whiffs. Fastball keeps improving as velocity continues to rise, reportedly reaching 96 mph this summer. Effective, model pitch.",,,"Breaking ball has slurvy tendencies and good depth. It's 77-80 on most nights and because of the extension and release point, tunnels well with the heater. Command has been an issue.",81-84 with some tumble and plenty of arm-side fade. He spots the pitch well and induced a lot of ground balls because of the separation and break.,,,,,,,"Violent, whippy arm action. Good extension and follow through on each pitch. Comes to the plate from a low release point and gets the ball out in front. ¾ arm action. Violence could be a deterrent for future starter capabilities. Three-quarter arm slot that includes some deception. Consistent and repeated mechanics majority of the time, though aforementioned violence is a concern.","Good command for a pitcher of his size and effort, though over extended outings it could become a concern thanks to violent delivery. Good relief profile.",,,,,https://www.dropbox.com/s/t3pnd3ed1jtst1x/PLive_Placeholder_Team_Board.png?raw=1
Devin Sweet,36,Seattle Mariners,SEA,682967,10/6/1996,5-11,185,R/R,2018,Undrafted,2018 Undrafted,2022,RHP,A+,Nick Stillman,35,30,35 OFP 30 Role,Up/Down Emergency Depth,Moderate,2023,45FB 40SL 55CH 50Control 50Command,45,,,40,55,,,,,,,50,50,50/50,,,,,,"Sweet's short, wide frame is filled out with a thick lower half that he uses to generate his velocity. He's an above average athlete who moves well on and off the mound, relying on rhythm to repeat delivery.","Sweet has seen major improvement in his profile from undrafted flier, to reliever, to a starter who saw great results in the low minors. He relies on a plus change that he can sink or fade to put guys away and keep them off of an average fastball. His breaking pitch is infrequent and inconsistent. Despite possessing the command and stamina of a starter, his repertoire still best profiles in the pen as a multi-inning relief option. If his breaking ball takes a big step forward he may stick in the rotation, but his easiest and most likely path to the big leagues is to lean on his best pitch and hope the fastball ticks up in shorter stints.",,,,,,"While the fastball took a jump in 2019 (he scrapped an ineffective two seamer) and is now up to 90-93, t95, it is still a fringe-average offering with decent ride at the top of the zone. He gets the most out of it, though, as it tunnels with the changeup and has enough command to keep hitters off the barrel. He knows how to use the pitch and works it up in the zone for punchouts, but will struggle to get the same results against more advanced competition.",,"Sweet's breaking pitch has been labeled a slider and a curve, and the lack of industry consensus are indicative of the lack of a distinctive shape or action. While it might be two separate pitches, the breaking pitch has a slight hump and some 3/4th tilt that Sweet lands for strikes. It can flash average when he buries it, but it plays best on the edges of the zone as it's not tempting enough when off the plate. To stick as a starter, Sweet will need to refine his breaking pitch to keep hitters from staying on the fastball the second and third time through the order.",,"Sweet's premier offering, his changeup has plus action, with late fade and sink that resembles a splitter. It's a swing and miss pitch that carries his profile and elevates the rest of his arsenal. He can throw it to lefties and righties, in the zone or diving below. It will still straighten out and get crushed on occasion, but it is an impressive major league caliber offering. Further development and consistency are what will make or break his chance at a major league role.",,,,,,,"A quick worker, Sweet rocks and fires through a high 3/4th slot. A clean and simple delivery that features modest effort. Sweet has the athleticism to repeat the delivery but the reliance on balance and rhythm can lead to inconsistency as he fatigues.","With average to above control and average command, Sweet is consistently around the plate with all three of his pitches. He will locate at the top of the zone with the fastball and drop the changeup on the edge or bury it with enough regularity that hitters have a tough time laying off. Will leave some floating or drifting into the heart of the plate but there's enough command for a starter profile.",,,,,http://www.milb.com/images/682967/generic/180x270/682967.jpg
Alberto Rodriguez,37,Seattle Mariners,SEA,679754,10/6/2000,5-11,180,B/R,2017,"IFA, TOR","2017 IFA, TOR",2021,OF,R,Alex Jensen,30,30,30 OFP 30 Role,Up/Down Emergency Depth,High,2023,50Hit 40Power 50Field 50Arm 50Run,,,,,,,,,,,,,,,50,40,50,50,50,"Compact 5'11 185 pound frame. Frame isn't the most projectable, but his body composition is fairly young and he will likely shift to more muscle over the next few years. Should wind up in the 200 pound range at maturity but is certainly not a physical specimen. Average athlete overall, but packs more strength than you'd guess based off of physical appearance. Strong lower half.","There is risk to Rodriguez in that he's a hit tool first prospect that likely will need to alter his swing at some point. The track record of corner outfield prospects who don't hit for power isn't exactly glowing. That being said, you can't teach Rodriguez's natural internal timing skills nor his natural feel for the barrel and as long as he hits, he will continue to factor into the teams long term plans. A fun tidbit is that he is longtime friends with Noelvi Marte, growing up in the same city (Cotui) just a year apart.","Simple lower half with a fairly wide base. Lower half movement is muted, which is necessary due to a fairly busy upper half. Unconventional hitting mechanics in the upper half with a notable drawback in his hands as he starts his swing prevents him from taking a steeper angle with his bat path. That said, he does seem to time everything out exceptionally well. Consistent, loud, line-drive oriented contact with quick, strong wrists. Very good eye and plus bat to ball skills. All fields approach and goes with the pitch. Main concern is that his natural contact and timing abilities with his current swing will prevent him from risking a swing change until the upper minors. Overall, a very good feel for contact and feel for the strike zone.","Rodriguez packs more raw punch than you'd expect for his size and the ball jumps off of his bat. Unfortunately, a flat bat path significantly holds back his power ceiling and his current swing mechanics would make adding loft fairly difficult. That said, the loud contact and exit velocities are there for this tool to jump in the future. Raw power currently plays above in game. Upside is there for average or better power in games, but until the bat path changes it won't be unlocked.","Rodriguez, signed as a center fielder, has since shifted to right field. His defense has improved steadily, with just one error in 41 games in 2019. He has decent range with an average arm currently and projects to stick in right field long term.","Limited sample size to look at, but Rodriguez has a solid arm with average carry for a corner outfielder and solid accuracy. He could tick up a half grade in this area as he continues to put on good weight spending time in the weight room.","Rodriguez is a solid average runner currently. He has good first step instincts that help him with jumps, but he does project to slow down a tick as he matures. That could be counteracted as he shifts his body to good weight however and the Mariners have been among the league's best in this regard.",,,,,,,,,,,,,,,,,,http://www.milb.com/images/679754/generic/180x270/679754.jpg
